,original_tumor_region,Tumor_region
1125,True,True
1126,True,True
1127,False,True
1128,False,True
1129,True,True
1130,False,True
1131,False,True
1132,True,True
1133,False,True
1134,False,True
1135,True,True
1136,True,True
1137,False,True
1138,False,True
1139,True,True
1140,False,True
1141,True,True
1142,False,True
1143,False,True
1144,True,True
1145,True,True
1146,False,False
1147,False,False
1148,True,True
1149,False,True
1150,True,True
1152,False,True
1153,True,True
1154,False,True
1155,False,True
1156,False,True
1157,True,True
1158,False,False
1159,False,True
1160,False,True
1161,True,True
1162,False,True
1163,False,True
1164,False,True
1165,False,True
1166,True,True
1167,True,True
1168,True,True
1169,True,True
1170,False,True
1171,False,True
1172,True,True
1173,True,True
1174,True,True
1175,True,True
1176,False,False
1178,False,True
1179,True,True
1180,True,True
1181,False,False
1182,True,True
1183,False,True
1185,True,True
1186,True,True
1187,False,True
1188,False,True
1189,False,True
1190,False,False
1191,False,False
1192,False,True
1193,False,True
1194,False,True
1195,False,False
1196,True,True
1197,False,True
1198,True,True
1199,True,True
1200,True,True
1201,True,True
1202,False,True
1203,True,True
1204,False,True
1205,False,True
1206,True,True
1207,True,True
1208,False,True
1209,False,True
1210,False,True
1211,True,True
1212,True,True
1213,True,True
1214,True,True
1215,False,True
1216,False,True
1217,False,False
1218,False,True
1219,False,True
1220,True,True
1221,False,False
1222,True,True
1223,False,True
1225,False,False
1226,False,True
1227,False,True
1228,False,False
1229,False,True
1230,False,True
1231,True,True
1232,False,True
1233,False,True
1234,False,True
1235,True,True
1236,False,False
1237,False,True
1238,False,True
1239,False,True
1240,True,True
1241,True,True
1242,True,True
1243,True,True
1244,False,False
1245,False,True
1246,True,True
1247,False,False
1248,False,True
1249,False,True
1251,False,True
1252,True,True
1253,False,True
1254,False,True
1255,False,False
1256,False,False
1257,False,True
1258,False,True
1259,True,True
1260,True,True
1261,True,True
1262,False,True
1263,True,True
1264,False,True
1265,True,True
1266,False,False
1267,False,True
1268,False,True
1269,False,True
1270,False,False
1271,True,True
1272,True,True
1273,False,False
1274,True,True
1276,False,False
1277,False,False
1278,False,False
1279,False,False
1280,False,False
1281,False,False
1282,False,True
1283,True,True
1284,False,False
1285,False,False
1286,False,False
1287,False,False
1288,False,True
1289,False,False
1290,False,True
1291,False,True
1292,False,True
1293,False,True
1294,False,True
1295,False,False
1296,False,False
1297,True,True
1298,False,True
1299,True,True
1300,False,True
1301,False,False
1302,True,True
1303,False,False
1304,True,True
1305,True,True
1306,False,False
1307,False,False
1308,False,False
1309,False,True
1310,False,True
1311,True,True
1312,False,False
1313,True,True
1314,True,True
1315,False,True
1316,True,True
1317,False,True
1318,False,False
1319,False,False
1320,True,True
1321,False,False
1322,False,True
1323,True,True
1324,True,True
1325,True,True
1326,False,False
1327,False,False
1328,True,True
1329,False,False
1330,True,True
1332,False,True
1333,True,True
1334,False,True
1335,False,True
1336,False,False
1337,False,False
1338,False,False
1339,True,True
1340,False,True
1341,False,False
1342,True,True
1343,False,True
1344,True,True
1345,True,True
1346,False,False
1347,True,True
1348,True,True
1349,True,True
1350,False,True
1351,False,True
1352,False,False
1353,False,True
1354,True,True
1355,True,True
1356,False,True
1357,False,True
1358,False,True
1359,False,True
1360,True,True
1361,False,True
1362,False,True
1363,False,True
1364,False,True
1366,True,True
1368,False,True
1369,True,True
1370,True,True
1371,False,False
1372,True,True
1373,True,True
1374,False,True
1375,False,True
1377,True,True
1378,True,True
1379,True,True
1380,True,True
1381,False,True
1382,True,True
1383,False,True
1384,True,True
1386,False,True
1387,False,True
1388,False,False
1389,False,False
1390,False,True
1391,False,False
1392,False,True
1393,False,False
1394,False,True
1395,False,False
1396,False,True
1397,True,True
1398,True,True
1400,False,True
1401,True,True
1402,False,True
1403,False,True
1405,True,True
1406,False,True
1407,True,True
1408,True,True
1409,False,True
1410,False,True
1411,False,True
1412,True,True
1413,False,True
1414,True,True
1415,True,True
1416,False,True
1417,True,True
1418,True,True
1419,False,True
1420,True,True
1421,False,True
1422,True,True
1423,False,True
1424,True,True
1425,False,True
1427,True,True
1428,True,True
1429,True,True
1431,True,True
1432,True,True
1433,False,True
1435,True,True
1436,True,True
1438,True,True
1439,True,True
1440,False,True
1442,False,True
1444,True,True
1445,False,True
1446,True,True
1447,True,True
1448,True,True
1449,True,True
1451,True,True
1452,True,True
1453,True,True
1454,True,True
1455,True,True
1456,False,True
1457,True,True
1458,True,True
1459,True,True
1460,True,True
1461,True,True
1462,True,True
1463,True,True
1464,True,True
1465,True,True
1466,True,True
1467,True,True
1468,True,True
1469,True,True
1470,False,True
1471,True,True
1472,True,True
1473,True,True
1474,True,True
1475,True,True
1476,True,True
1477,True,True
1478,False,True
1479,True,True
1480,True,True
1481,True,True
1482,True,True
1483,True,True
1484,True,True
1485,True,True
1486,True,True
1487,True,True
1488,True,True
1489,True,True
1491,True,True
1492,False,True
1493,False,True
1494,True,True
1495,False,True
1496,False,True
1497,True,True
1498,True,True
1499,True,True
1500,True,True
1501,True,True
1502,True,True
1503,True,True
1504,True,True
1505,True,True
1508,True,True
1509,True,True
1510,True,True
1511,True,True
1512,True,True
1513,True,True
1514,True,True
1515,True,True
1517,True,True
1518,False,True
1519,True,True
1521,True,True
1522,True,True
1523,True,True
1524,True,True
1525,True,True
1526,False,True
1528,True,True
1529,True,True
1530,True,True
1531,True,True
1532,True,True
1533,True,True
1534,True,True
1535,True,True
1536,True,True
1537,True,True
1538,False,True
1539,True,True
1540,False,True
1541,True,True
1542,True,True
1543,False,True
1544,False,True
1545,True,True
1546,True,True
1547,True,True
1548,True,True
1549,True,True
1551,False,True
1552,False,True
1553,True,True
1554,True,True
1555,False,True
1556,True,True
1557,True,True
1558,True,True
1561,False,True
1562,False,True
1564,True,True
1565,True,True
1566,True,True
1567,True,True
1568,False,True
1570,False,True
1571,True,True
1572,True,True
1573,True,True
1574,False,True
1575,False,True
1576,True,True
1577,True,True
1578,False,True
1579,True,True
1580,True,True
1581,False,True
1582,True,True
1583,True,True
1584,True,True
1585,False,True
1586,True,True
1588,False,True
1589,True,True
1590,False,True
1593,False,True
1594,True,True
1595,False,True
1596,True,True
1597,True,True
1598,True,True
1599,False,True
1601,True,True
1602,True,True
1603,True,True
1604,True,True
1605,True,True
1606,True,True
1607,True,True
1608,True,True
1609,False,True
1610,False,True
1611,True,True
1612,True,True
1613,True,True
1614,True,True
1615,True,True
1616,True,True
1617,False,True
1618,True,True
1619,True,True
1620,True,True
1621,False,True
1622,False,True
1624,True,True
1626,True,True
1628,True,True
1630,False,True
1631,False,True
1632,True,True
1633,True,True
1634,True,True
1635,False,True
1636,True,True
1637,False,True
1639,True,True
1641,True,True
1642,True,True
1643,True,True
1644,False,True
1645,False,True
1646,True,True
1647,True,True
1648,True,True
1649,False,True
1650,True,True
1651,True,True
1652,True,True
1653,True,True
1655,True,True
1656,True,True
1657,True,True
1658,False,True
1659,True,True
1660,True,True
1661,True,True
1662,True,True
1663,False,True
1664,False,True
1665,True,True
1666,True,True
1667,True,True
1668,True,True
1669,False,True
1670,True,True
1671,False,True
1672,False,True
1673,True,True
1674,True,True
1675,True,True
1676,False,True
1677,False,True
1678,False,True
1679,True,True
1680,True,True
1681,True,True
1683,False,True
1685,True,True
1686,True,True
1687,True,True
1688,True,True
1689,True,True
1691,True,True
1692,True,True
1693,True,True
1694,True,True
1695,True,True
1696,True,True
1697,True,True
1698,True,True
1699,False,True
1702,False,True
1704,False,True
1706,True,True
1707,False,True
1708,False,True
1709,True,True
1710,True,True
1711,True,True
1712,False,True
1713,True,True
1714,True,True
1716,True,True
1717,True,True
1719,True,True
1720,True,True
1721,True,True
1722,True,True
1724,True,True
1725,True,True
1726,True,True
1727,False,True
1728,False,True
1729,True,True
1730,False,True
1731,False,True
1733,True,True
1734,False,True
1736,True,True
1739,True,True
1740,True,True
1741,False,True
1742,False,True
1745,False,True
1746,True,True
1747,True,True
1748,True,True
1750,False,True
1751,False,True
1752,True,True
1753,False,True
1754,True,True
1755,True,True
1756,True,True
1757,True,True
1758,False,True
1759,False,True
1761,True,True
1763,True,True
1764,False,True
1765,True,True
1766,True,True
1767,False,True
1769,True,True
1770,True,True
1771,True,True
1774,False,True
1775,True,True
1776,True,True
1777,True,True
1778,True,True
1779,True,True
1780,True,True
1781,True,True
1782,True,True
1783,True,True
1784,False,True
1788,False,True
1789,True,True
1790,True,True
1791,True,True
1792,True,True
1793,False,True
1794,True,True
1795,True,True
1796,True,True
1797,True,True
1798,False,True
1799,True,True
1800,True,True
1801,True,True
1802,True,True
1803,False,True
1805,True,True
1807,True,True
1808,True,True
1809,True,True
1810,True,True
1811,True,True
1812,True,True
1813,True,True
1814,True,True
1815,True,True
1816,True,True
1818,True,True
1819,True,True
1821,True,True
1822,True,True
1823,True,True
1824,True,True
1825,True,True
1826,True,True
1827,True,True
1828,True,True
1829,True,True
1830,True,True
1831,True,True
1832,True,True
1833,True,True
1834,True,True
1835,False,True
1837,True,True
1838,True,True
1839,True,True
1840,True,True
1841,True,True
1843,False,True
1844,True,True
1848,True,True
1849,True,True
1850,True,True
1851,True,True
1852,True,True
1854,True,True
1855,True,True
1856,True,True
1857,True,True
1858,True,True
1859,True,True
1861,True,True
1862,True,True
1864,True,True
1866,True,True
1867,True,True
1868,True,True
1869,True,True
1871,True,True
1872,False,True
1873,True,True
1874,True,True
1875,True,True
1876,True,True
1877,True,True
1878,True,True
1879,True,True
1880,False,True
1881,True,True
1882,True,True
1883,True,True
1884,True,True
1885,True,True
1886,True,True
1887,True,True
1888,True,True
1889,True,True
1890,True,True
1891,True,True
1892,True,True
1894,True,True
1895,True,True
1896,True,True
1897,True,True
1898,True,True
1899,True,True
1900,True,True
1901,True,True
1902,True,True
1903,True,True
1904,True,True
1905,True,True
1906,True,True
1907,True,True
1908,True,True
1909,True,True
1910,True,True
1911,True,True
1912,True,True
1913,True,True
1914,True,True
1916,True,True
1917,True,True
1918,True,True
1919,True,True
1920,True,True
1921,True,True
1922,True,True
1923,True,True
1925,True,True
1926,True,True
1927,True,True
1929,True,True
1930,True,True
1931,True,True
1932,True,True
1933,True,True
1934,True,True
1935,True,True
1936,True,True
1937,True,True
1939,True,True
1941,True,True
1942,True,True
1943,True,True
1944,True,True
1945,True,True
1946,True,True
1947,True,True
1948,True,True
1949,True,True
1950,True,True
1951,True,True
1952,True,True
1953,True,True
1954,True,True
1955,True,True
1956,True,True
1958,True,True
1959,True,True
1960,True,True
1961,True,True
1962,True,True
1963,True,True
1965,True,True
1966,True,True
1968,False,True
1969,True,True
1970,False,True
1971,True,True
1972,True,True
1973,True,True
1974,True,True
1975,True,True
1976,True,True
1977,True,True
1979,True,True
1980,True,True
1981,True,True
1982,True,True
1983,True,True
1984,True,True
1985,True,True
1986,True,True
1987,True,True
1988,True,True
1989,True,True
1990,True,True
1991,True,True
1992,True,True
1993,True,True
1994,True,True
1995,True,True
1996,True,True
1997,True,True
1998,True,True
1999,True,True
2000,True,True
2002,True,True
2004,True,True
2005,True,True
2007,True,True
2008,True,True
2009,True,True
2010,True,True
2011,True,True
2012,False,True
2017,True,True
2018,True,True
2019,True,True
2020,True,True
2021,True,True
2022,True,True
2023,True,True
2024,True,True
2025,True,True
2027,True,True
2028,True,True
2029,True,True
2031,True,True
2032,True,True
2033,True,True
2035,True,True
2037,True,True
2038,True,True
2039,True,True
2040,True,True
2041,True,True
2042,True,True
2043,True,True
2044,True,True
2047,True,True
2048,True,True
2049,True,True
2050,True,True
2051,True,True
2052,True,True
2053,True,True
2054,True,True
2055,True,True
2058,True,True
2059,True,True
2060,True,True
2061,False,True
2062,True,True
2063,True,True
2064,True,True
2065,True,True
2066,True,True
2067,True,True
2068,True,True
2069,True,True
2071,True,True
2072,True,True
2073,True,True
2074,False,True
2075,True,True
2076,True,True
2077,True,True
2078,True,True
2079,True,True
2080,True,True
2081,True,True
2082,True,True
2083,True,True
2084,True,True
2085,False,True
2086,True,True
2087,True,True
2088,True,True
2089,True,True
2090,True,True
2091,True,True
2092,False,True
2093,True,True
2094,True,True
2095,True,True
2097,True,True
2098,True,True
2099,False,True
2100,True,True
2102,True,True
2104,False,True
2105,True,True
2106,True,True
2108,True,True
2109,True,True
2111,True,True
2112,True,True
2113,False,True
2114,True,True
2115,False,True
2116,False,True
2117,False,True
2118,True,True
2119,True,True
2120,True,True
2122,True,True
2123,True,True
2124,False,True
2125,True,True
2126,True,True
2127,True,True
2128,True,True
2129,True,True
2130,True,True
2131,False,True
2132,False,True
2133,True,True
2134,True,True
2135,False,True
2136,True,True
2137,True,True
2138,True,True
2139,True,True
2141,True,True
2142,True,True
2143,True,True
2144,False,True
2145,False,True
2146,False,True
2147,False,True
2148,True,True
2149,True,True
2150,True,True
2151,True,True
2152,True,True
2153,True,True
2154,True,True
2155,True,True
2156,True,True
2157,False,False
2158,False,True
2159,True,True
2160,True,True
2161,False,False
2162,True,True
2164,True,True
2165,True,True
2166,False,True
2168,True,True
2169,True,True
2171,True,True
2172,True,True
2173,False,True
2174,True,True
2175,True,True
2176,True,True
2177,True,True
2178,True,True
2179,False,True
2180,True,True
2181,False,False
2182,True,True
2183,True,True
2184,True,True
2185,False,True
2186,True,True
2187,True,True
2188,True,True
2189,True,True
2190,True,True
2191,True,True
2193,True,True
2194,False,False
2195,True,True
2196,True,True
2198,True,True
2199,True,True
2200,True,True
2201,True,True
2202,False,True
2203,True,True
2204,True,True
2205,False,True
2206,False,True
2207,True,True
2208,True,True
2209,False,True
2210,True,True
2211,True,True
2212,False,True
2213,True,True
2214,True,True
2215,True,True
2216,True,True
2217,False,True
2218,True,True
2219,False,True
2220,True,True
2222,False,True
2224,True,True
2225,True,True
2226,False,True
2227,True,True
2229,False,True
2230,True,True
2231,True,True
2232,False,True
2233,True,True
2234,True,True
2236,False,True
2237,True,True
2238,True,True
2239,True,True
2240,False,True
2241,False,True
2242,True,True
2243,True,True
2244,True,True
2245,True,True
2246,True,True
2247,True,True
2248,False,True
2249,True,True
2250,True,True
2251,False,True
2252,True,True
2253,False,True
2254,False,False
2255,True,True
2256,True,True
2257,False,True
2258,True,True
2259,True,True
2260,True,True
2261,True,True
2262,True,True
2263,True,True
2265,True,True
2266,False,True
2267,True,True
2268,True,True
2269,False,False
2270,True,True
2271,True,True
2272,False,True
2273,True,True
2274,True,True
2275,False,True
2277,False,True
2278,False,True
2279,False,False
2280,True,True
2281,True,True
2282,True,True
2283,True,True
2284,False,True
2286,True,True
2288,False,True
2289,False,True
2290,True,True
2291,True,True
2292,True,True
2293,True,True
2294,True,True
2295,True,True
2296,False,True
2297,False,True
2299,False,True
2300,False,True
2301,False,True
2302,True,True
2303,False,True
2304,True,True
2305,True,True
2306,True,True
2307,True,True
2308,False,True
2309,True,True
2310,False,True
2311,False,True
2312,False,False
2313,True,True
2314,False,False
2315,False,True
2317,False,True
2319,True,True
2320,False,True
2321,False,True
2322,False,True
2323,False,False
2324,True,True
2325,True,True
2326,True,True
2327,True,True
2328,False,True
2329,True,True
2330,True,True
2331,False,True
2332,False,True
2333,False,True
2334,True,True
2335,True,True
2336,False,False
2337,False,True
2338,True,True
2339,False,False
2340,True,True
2341,True,True
2342,False,True
2343,True,True
2344,False,False
2345,False,True
2346,True,True
2347,False,True
2348,False,True
2349,False,True
2350,False,True
2351,True,True
2352,False,True
2353,False,True
2354,False,True
2355,False,True
2358,True,True
2359,False,False
2360,True,True
2361,True,True
2362,True,True
2363,False,False
2364,False,True
2365,False,True
2366,False,True
2367,True,True
2368,False,True
2369,True,True
2370,False,False
2371,False,False
2372,True,True
2373,True,True
2374,False,True
2375,False,True
2376,True,True
2377,False,False
2378,True,True
2379,False,False
2380,True,True
2381,False,True
2382,True,True
2383,True,True
2384,True,True
2385,False,False
2386,True,True
2387,True,True
2388,False,True
2389,True,True
2390,True,True
2391,False,True
2392,False,False
2393,False,True
2394,False,True
2395,False,True
2396,False,False
2398,True,True
2399,False,False
2400,False,False
2402,False,False
2403,False,False
2404,False,False
2405,False,True
2407,False,True
2408,False,True
2409,False,False
2410,False,False
2411,True,True
2413,True,True
2415,False,True
2416,False,True
2417,False,False
2418,True,True
2419,False,False
2421,False,True
2423,False,True
2424,False,True
2425,False,False
2426,True,True
2427,False,True
2428,True,True
2429,False,False
2431,True,True
2432,False,False
2433,False,False
2435,True,False
2438,False,True
2439,True,True
2440,True,True
2441,False,False
2443,False,True
2444,False,True
2445,True,True
2448,False,True
2450,True,True
2451,False,False
2452,True,True
2454,False,False
2455,False,True
2456,False,True
2457,False,False
2458,True,True
2459,True,True
2460,False,True
2461,True,True
2462,False,True
2463,False,True
2464,False,True
2465,False,True
2466,True,True
2467,False,False
2470,False,True
2471,False,False
2472,False,True
2473,False,True
2474,True,True
2475,True,True
2477,False,True
2479,True,True
2480,False,True
2481,False,False
2482,True,True
2483,False,False
2484,False,True
2485,False,True
2486,True,True
2487,False,False
2489,False,True
2490,False,True
2491,False,False
2494,False,False
2495,True,True
2496,False,False
2497,False,False
2498,False,False
2499,False,False
2500,False,True
2501,True,True
2502,False,False
2503,False,False
2504,False,True
2506,False,True
2507,False,False
2508,False,True
2509,True,True
2510,False,False
2511,False,True
2512,True,True
2513,False,False
2515,False,True
2516,True,True
2517,True,True
2518,True,True
2519,False,False
2520,False,True
2521,False,False
2522,False,False
2523,False,False
2525,True,True
2526,True,True
2527,False,True
2528,False,False
2529,False,False
2531,False,False
2532,True,True
2533,False,True
2534,True,True
2535,False,False
2536,False,True
2538,False,True
2539,False,False
2540,False,False
2542,True,True
2543,True,True
2544,True,True
2545,True,True
2546,False,False
2547,False,False
2548,False,False
2549,False,False
2550,False,False
2552,False,True
2553,True,True
2554,False,True
2555,False,False
2556,True,True
2557,False,False
2558,True,True
2559,True,True
2560,True,True
2561,True,True
2562,True,True
2563,False,False
2564,False,False
2565,False,False
2566,True,True
2567,False,False
2568,False,True
2569,True,True
2570,False,False
2571,True,True
2572,False,False
2573,False,False
2574,True,True
2575,True,True
2576,False,False
2577,False,False
2578,True,True
2579,False,True
2580,False,False
2581,False,False
2582,True,True
2583,True,True
2584,False,False
